ISBN,Author,Title,RentPrice,Category,Publisher
223156628-1,Brannon Vinden,The Good Shepherd,42,Action,"Blanda, Howell and Christiansen"
249581980-X,Quinlan Mapledoram,One Day At A Time,31,Drama,Mraz and Sons
025458379-2,Hughie Duprey,Alpriori Gen Join,39,Comedy,Heathcote-Treutel
357421972-5,Dasi Sellen,"The Good, Bad and the Ugly",30,Drama,"Baumbach, Hessel and Paucek"
695752381-0,Melissa Candelin,Top Boy,48,Adventure,Sporer-Nikolaus
111579298-9,Bambie Seaking,Eastlawn Mechanism,50,Comedy,Kuphal and Sons
127782387-1,Osbourn Sigge,Scoville Parkway,11,Western,Yundt-Rempel
840555691-5,Denys Sweetmore,Schlimgen Returns,31,Comedy,Schneider Inc
386759439-2,Tilda Losseljong,Vidon ,46,Adventure,Kiehn-Von
187636157-3,Worthy Passingham,Arrowood ,42,Crime,Okon Inc
595391563-2,Valentia Heinel,Lindbergh Pass,31,Comedy,Botsford LLC
087461628-X,Lizabeth Isakov,Barnett Palace,39,Comedy,Botsford LLC
416380290-8,Giulia Wrankmore,The American Lane,30,Horror,"Hagenes, Moore and Macejkovic"
540195342-9,Stanislas McMillam,Being Bowman,48,Comedy,Rath-Gleason
396182102-X,Justus Dunsleve,Del Sol ,50,Drama,Koelpin and Sons
313557961-1,Flemming Spacey,Bultman the Third,45,Comedy,Spinka-Ledner
239075900-9,Nicola Thorrold,Jenna Point,15,Drama,"Nienow, Abshire and Leffler"
744922905-6,Cindie Elby,Lukken Trail,45,Crime,Okon Inc
315668918-1,Carmen Churchyard,Sutteridge ,38,Documentary,Mertz and Sons
671151961-2,Irv Trodler,Kipling Circle,25,Drama,Nader LLC
099672263-7,Cherish Witul,Hermina Junction,44,Action,"Bauch, Reynolds and Kling"
360741969-8,Bard World,Being John Buell,42,Comedy,Hartmann-Flatley
149441797-9,Roselia Confait,The Art Of Kropfing,4,Drama,"Stoltenberg, Kessler and Buckridge"
217481693-8,Deanna Papps,Parkside industry,36,RomCom,Harvey-Emmerich
329006851-X,Cly Rihosek,Derekson Way,45,Comedy,Torphy Group
435349233-0,Jordain Lilbourne,Oneill  Drive ,44,Documentary,Fay-Kunze
551101480-X,Amalia Bolley,Stang  Plaza ,20,Drama,Kautzer Group
726063840-0,Rois Kruszelnicki,Dexter  Point ,41,Drama,Vandervort-Roberts
386403216-4,Juanita Rubert,Di  Loreto Junction,34,Comedy,Ledner-Bergnaum
000205887-1,Etta Camelli,La  Follette Circle,45,Action,Moen LLC
948233760-3,Jacquetta Axelbee,Fair  Oaks Street,16,Drama,"Gulgowski, Grady and McLaughlin"
029942479-0,Tuck Mahady,Clove  Point ,48,Drama,Schinner Inc
888396375-X,Kort Bernadon,Northfield  Center ,24,Drama,Rogahn-Frami
122450049-0,Ely Capelin,Kennedy  Plaza ,4,Comedy,"Gutmann, Barrows and Hermann"
742281678-3,Avie McArd,Grayhawk  Park ,13,Crime,Okon Inc
014433655-3,Teodoor Gwilliams,Straubel  Avenue ,14,Documentary,Wiza-Bashirian
066881290-7,Grazia Reubel,Maryland  Center ,31,Comedy,Walter LLC
438393961-9,Edithe Gillbe,Gale  Road ,36,Adventure,Fahey Group
995337648-4,Worthy Maingot,Red  Cloud Alley,46,Drama,"Hayes, Erdman and Wintheiser"
967177836-4,Maighdiln Lowing,Esch  Junction ,7,Comedy,"Pfeffer, Medhurst and Bradtke"
592521965-1,Chickie Bilbrook,Michigan  Park ,46,Comedy,Gutkowski-Osinski
469929970-9,Kathleen Rabjohn,Moulton  Alley ,24,Comedy,"Carroll, Maggio and Larson"
913875266-2,Rani Tamas,Warner  Junction ,2,Comedy,"Hickle, Wunsch and Mueller"
925102302-6,Cinnamon Ibbott,Westend  Street ,37,Crime,Okon Inc
295726978-3,Nev Snelman,Hauk  Pass ,17,Drama,Oberbrunner-Swaniawski
877941969-0,Mart Picker,Memorial  Circle ,2,Comedy,Paucek-Bergstrom
249784025-3,Kippy Rubinsztein,Shasta  Place ,17,Drama,"Towne, Botsford and Schimmel"
820216036-7,Dorolice Hrinchenko,Hoepker  Circle ,46,Comedy,Haley LLC
370251093-1,Skip Scaplehorn,Pleasure  Terrace ,30,Comedy,Hammes-O'Reilly
273493707-7,Masha Lamputt,Brickson  Park Street,39,Thriller,"Ritchie, Hagenes and Carter"
965444027-X,Mile Thaxter,Jenna  Terrace ,17,Drama,"Johns, Smitham and Emmerich"
381695710-2,Fabien Forsdyke,Westend  Plaza ,35,Comedy,Morissette LLC
561432384-8,Clark Revely,Lunder  Street ,14,Comedy,Will-Will
088004097-1,Jolie Seagrave,Old  Shore Parkway,33,Comedy,"Macejkovic, Deckow and Cronin"
027205484-4,Brok Deans,Charing  Cross Court,10,Adventure,"Tremblay, Rohan and Gusikowski"
674244797-4,Bambi Quantrell,Beilfuss  Avenue ,47,Action,Johnson-Bayer
794740396-1,Drusy Gashion,Holy  Cross Plaza,49,Crime,Okon Inc
787958305-X,Milty Zorn,Sachs  Place ,28,Animation,Cassin-Roberts
802353308-8,Florencia Sammut,Bobwhite  Place ,10,Drama,"Kihn, Hagenes and Koss"
252891833-X,Drucy Tarpey,David  Pass ,43,Adventure,Lind-Wilkinson
757425460-5,Jeromy Trulocke,Manley  Place ,31,Romance,"Howell, Haag and Schinner"
069692414-5,Teador Peele,Dapin  Circle ,35,Comedy,"Kilback, Doyle and Kunde"
323011846-4,Karina Wescott,Namekagon  Circle ,23,Necrorealism,"Hartmann, Hammes and Thiel"
622476029-2,Freedman Lamport,Prentice  Parkway ,32,Comedy,Leannon-Hodkiewicz
924101654-X,Hertha Jost,Kings  Parkway ,4,Adventure,Parker-Lynch
775623506-1,Whitney Menichillo,Basil  Street ,6,Children,Lehner and Sons
483439354-2,Loralie Andreuzzi,Lukken  Place ,44,Drama,Rath Group
085794653-6,Gabe Grealish,Meadow  Ridge Park,37,Comedy,"Gerlach, Jacobi and Borer"
289750471-4,Avictor Braycotton,Coleman  Alley ,22,Horror,Simonis-Fay
028735423-7,Lissi Bispham,Main  Alley ,24,Drama,Homenick and Sons
181026538-X,Brant Gendricke,Forest  Avenue ,35,Documentary,Mraz-Lakin
305684314-6,Symon Habden,Summerview  Crossing ,48,Comedy,"Gleason, Skiles and Reichert"
035793455-5,Giavani Minelli,Mandrake  Terrace ,6,Drama,"Frami, McDermott and Boyer"
136665895-7,Alexander Stonhewer,Brentwood  Way ,32,Comedy,Bergnaum and Sons
854606747-3,Aurthur Stallard,Lunder  Circle ,21,Drama,"Shanahan, Rice and Russel"
036984056-9,Irma Duckhouse,Russell  Point ,40,Action,Bosco-Kuvalis
976237300-6,Jacquette Vertigan,Milwaukee  Parkway ,1,Action,Weissnat Group
549696189-0,Guilbert Askin,Summerview  Lane ,11,Drama,Schinner and Sons
354312500-1,Sheppard Capeling,Merrick  Drive ,7,Children,Wuckert Inc
868895168-3,Cecilla Oak,Raven  Circle ,33,Film-Noir,Mayer Inc
053949732-0,Norbert Pease,Porter  Street ,22,Drama,"Macejkovic, Kihn and Kemmer"
063293067-5,Genovera Dykes,Cardinal  Drive ,10,Drama,"Kuphal, Osinski and Wilderman"
880753055-4,Netty Filippazzo,American  Parkway ,32,Drama,Wisozk-Buckridge
578236455-6,Henrieta Beakes,Butternut  Terrace ,4,Crime,Okon Inc
950658087-1,Mab Hardington,Park  Meadow Road,22,Drama,"Marquardt, Lynch and Jacobs"
983790551-4,Mercie Geach,Arrowood  Way ,7,Drama,"Kshlerin, Pacocha and Lueilwitz"
549270956-9,Sidonia Degoe,Clove  Center ,36,Crime,Okon Inc
616534758-4,Antonius Hensmans,Sycamore  Drive ,23,Drama,Marvin Inc
831881983-7,Waring Grisewood,Oxford  Center ,45,Documentary,Sanford-Kilback
647975968-0,Lem Elph,Warrior  Circle ,17,Animation,Hilpert Group
767557986-0,Adrien Jirousek,Doe  Crossing Park,8,Horror,Schulist LLC
350631498-X,Robenia Samways,Golf  Point ,27,Comedy,"Gleason, Heidenreich and Kulas"
534934488-9,Vlad Collcutt,Russell  Circle ,9,Crime,Okon Inc
