User_ID,ISBN,RentAmount,Quantity,Date
vipgrave18,028735423-7,24,3,12/03/2019
aholstein19,181026538-X,35,5,25/03/2022
whinckes1a,305684314-6,48,6,08/08/2018
yprangnell1b,035793455-5,6,6,18/11/2016
fadamec1c,136665895-7,32,4,12/02/2021
cwahncke1d,854606747-3,21,1,02/04/2020
mhearson1e,036984056-9,40,7,21/02/2019
wlegerton1f,976237300-6,1,4,22/10/2016
srisdall1g,549696189-0,11,1,10/12/2019
gcanet1h,354312500-1,7,3,11/11/2021
ukolakovic1i,868895168-3,33,5,05/10/2019
cpeagrim1j,053949732-0,22,7,25/08/2021
adabels1k,063293067-5,10,6,09/10/2017
sleaming1l,880753055-4,32,2,23/07/2018
lbraksper1m,578236455-6,4,2,28/07/2020
hcroot1n,950658087-1,22,5,24/08/2018
pmccann1o,983790551-4,7,2,13/09/2017
ojaram1p,549270956-9,36,5,04/11/2019
foverton1q,616534758-4,23,4,30/09/2018
jmandres1r,831881983-7,45,7,03/07/2020
rfebvre1s,647975968-0,17,1,31/08/2021
arudwell1t,767557986-0,8,1,30/08/2018
dbrittle1u,350631498-X,27,1,22/08/2018
jnoury1v,534934488-9,9,5,28/09/2017
mshedden1w,738058717-X,8,4,27/10/2016
tlasslett1x,371752263-9,32,3,22/03/2015
lgrigson1y,585015405-1,15,4,22/11/2017
skop1z,651140998-8,42,5,29/01/2015
bsouthby20,032639433-8,47,3,29/04/2021
pmarkie21,132496288-7,29,1,29/12/2015
gkolodziej22,905522033-7,30,2,06/10/2019
vipgrave18,028735423-7,24,6,19/08/2020
aholstein19,181026538-X,35,4,05/04/2022
whinckes1a,305684314-6,48,7,10/08/2020
yprangnell1b,035793455-5,6,7,22/05/2019
fadamec1c,136665895-7,32,3,18/02/2019
cwahncke1d,854606747-3,21,7,18/09/2016
mhearson1e,036984056-9,40,5,22/03/2020
wlegerton1f,976237300-6,1,2,02/05/2018
srisdall1g,549696189-0,11,4,02/04/2018
gcanet1h,354312500-1,7,1,30/10/2017
ukolakovic1i,868895168-3,33,2,26/10/2021
cpeagrim1j,053949732-0,22,2,05/10/2018
adabels1k,063293067-5,10,6,10/12/2018
sleaming1l,880753055-4,32,4,17/07/2016
lbraksper1m,578236455-6,4,4,13/12/2020
hcroot1n,950658087-1,22,6,26/11/2020
pmccann1o,983790551-4,7,3,22/02/2022
ojaram1p,549270956-9,36,6,06/07/2018
foverton1q,616534758-4,23,1,30/06/2019
jmandres1r,831881983-7,45,5,06/11/2018
rfebvre1s,647975968-0,17,4,05/08/2021
arudwell1t,767557986-0,8,4,23/11/2018
dbrittle1u,350631498-X,27,1,23/11/2020
jnoury1v,534934488-9,9,7,04/07/2021
mshedden1w,738058717-X,8,3,07/10/2019
tlasslett1x,371752263-9,32,4,28/10/2021
lgrigson1y,585015405-1,15,5,02/11/2020
skop1z,651140998-8,42,7,28/01/2018
bsouthby20,032639433-8,47,4,16/01/2020
pmarkie21,132496288-7,29,2,03/04/2019
