ISBN,Author,Title,RentPrice,Category,Publisher
028735423-7,Lissi Bispham,Main  Alley ,24,Drama,Homenick and Sons
181026538-X,Brant Gendricke,Forest  Avenue ,35,Documentary,Mraz-Lakin
305684314-6,Symon Habden,Summerview  Crossing ,48,Comedy,"Gleason, Skiles and Reichert"
035793455-5,Giavani Minelli,Mandrake  Terrace ,6,Drama,"Frami, McDermott and Boyer"
136665895-7,Alexander Stonhewer,Brentwood  Way ,32,Comedy,Bergnaum and Sons
854606747-3,Aurthur Stallard,Lunder  Circle ,21,Drama,"Shanahan, Rice and Russel"
036984056-9,Irma Duckhouse,Russell  Point ,40,Action,Bosco-Kuvalis
976237300-6,Jacquette Vertigan,Milwaukee  Parkway ,1,Action,Weissnat Group
549696189-0,Guilbert Askin,Summerview  Lane ,11,Drama,Schinner and Sons
354312500-1,Sheppard Capeling,Merrick  Drive ,7,Children,Wuckert Inc
868895168-3,Cecilla Oak,Raven  Circle ,33,Film-Noir,Mayer Inc
053949732-0,Norbert Pease,Porter  Street ,22,Drama,"Macejkovic, Kihn and Kemmer"
063293067-5,Genovera Dykes,Cardinal  Drive ,10,Drama,"Kuphal, Osinski and Wilderman"
880753055-4,Netty Filippazzo,American  Parkway ,32,Drama,Wisozk-Buckridge
578236455-6,Henrieta Beakes,Butternut  Terrace ,4,Crime,Okon Inc
950658087-1,Mab Hardington,Park  Meadow Road,22,Drama,"Marquardt, Lynch and Jacobs"
983790551-4,Mercie Geach,Arrowood  Way ,7,Drama,"Kshlerin, Pacocha and Lueilwitz"
549270956-9,Sidonia Degoe,Clove  Center ,36,Crime,Okon Inc
616534758-4,Antonius Hensmans,Sycamore  Drive ,23,Drama,Marvin Inc
831881983-7,Waring Grisewood,Oxford  Center ,45,Documentary,Sanford-Kilback
647975968-0,Lem Elph,Warrior  Circle ,17,Animation,Hilpert Group
767557986-0,Adrien Jirousek,Doe  Crossing Park,8,Horror,Schulist LLC
350631498-X,Robenia Samways,Golf  Point ,27,Comedy,"Gleason, Heidenreich and Kulas"
534934488-9,Vlad Collcutt,Russell  Circle ,9,Crime,Okon Inc
738058717-X,Mohammed Hassen,Meadow  Valley Way,8,Drama,Hand-Schuppe
371752263-9,Katie Lernihan,Fair  Oaks Parkway,32,Romance,"Lakin, Parker and Schaefer"
585015405-1,Hastie Andriveaux,Farragut  Terrace ,15,Drama,"Cronin, Dickens and Witting"
651140998-8,Johan Jedraszczyk,Sauthoff  Place ,42,Drama,Balistreri Inc
032639433-8,Ivar Telling,Manitowish  Terrace ,47,Documentary,"Kuhn, Mayert and Hagenes"
132496288-7,Mercie Fasham,Randy  Street ,29,Documentary,Rodriguez-Weissnat
905522033-7,Goddard Danilchik,Moose  Avenue ,30,Crime,Okon Inc
