User_ID,ISBN,RentAmount,Quantity,Date
ahaggart9,742281678-3,13,2,24/08/2015
kwateridgea,014433655-3,14,4,30/04/2015
mmattingsonb,066881290-7,31,6,16/09/2021
ljosskovizc,438393961-9,36,3,17/11/2021
aleftwichd,995337648-4,46,6,02/09/2018
tlestrangee,967177836-4,7,6,24/01/2015
jyoutheadf,592521965-1,46,4,24/03/2015
aabramovicig,469929970-9,24,3,31/05/2019
gmacnallyh,913875266-2,2,5,15/03/2019
lbohjei,925102302-6,37,1,31/01/2018
bhinkesj,295726978-3,17,2,20/09/2016
acrimk,877941969-0,2,1,05/07/2015
chonschl,249784025-3,17,5,13/11/2019
jservantm,820216036-7,46,5,04/06/2019
rnorthbridgen,370251093-1,30,2,19/12/2019
rearwickero,273493707-7,39,6,29/01/2020
bmacgrayp,965444027-X,17,5,01/02/2017
jlindemannq,381695710-2,35,1,11/09/2019
hfendlowr,561432384-8,14,4,26/03/2019
ksevernss,088004097-1,33,1,05/02/2020
aprobbint,027205484-4,10,2,29/09/2018
gtrussu,674244797-4,47,4,15/08/2020
spercyv,794740396-1,49,3,22/04/2016
bmerrimanw,787958305-X,28,3,27/03/2019
lwarlowex,802353308-8,10,1,01/07/2021
tnorthagey,252891833-X,43,5,27/02/2018
afarmerz,757425460-5,31,6,09/12/2021
lelphinstone10,069692414-5,35,5,13/05/2017
cmordon11,323011846-4,23,3,28/05/2021
yrawls12,622476029-2,32,2,05/10/2018
ddelacroux13,924101654-X,4,3,07/03/2020
dbeckham14,775623506-1,6,1,13/07/2016
amurkitt15,483439354-2,44,3,13/10/2021
bchazette16,085794653-6,37,3,25/05/2019
gkydd17,289750471-4,22,1,16/05/2016
ahaggart9,742281678-3,13,1,24/10/2016
kwateridgea,014433655-3,14,6,02/03/2022
mmattingsonb,066881290-7,31,3,01/03/2018
ljosskovizc,438393961-9,36,2,23/03/2018
aleftwichd,995337648-4,46,4,27/06/2017
tlestrangee,967177836-4,7,6,11/11/2015
jyoutheadf,592521965-1,46,1,16/02/2016
aabramovicig,469929970-9,24,4,23/02/2019
gmacnallyh,913875266-2,2,1,15/06/2019
lbohjei,925102302-6,37,2,26/11/2020
bhinkesj,295726978-3,17,6,17/09/2020
acrimk,877941969-0,2,2,11/02/2019
chonschl,249784025-3,17,1,11/05/2019
jservantm,820216036-7,46,5,09/02/2018
rnorthbridgen,370251093-1,30,6,07/05/2018
rearwickero,273493707-7,39,4,08/05/2021
bmacgrayp,965444027-X,17,4,14/11/2015
jlindemannq,381695710-2,35,3,30/09/2015
hfendlowr,561432384-8,14,6,05/06/2020
ksevernss,088004097-1,33,5,24/05/2020
aprobbint,027205484-4,10,4,20/02/2018
gtrussu,674244797-4,47,6,22/11/2016
spercyv,794740396-1,49,2,09/02/2020
bmerrimanw,787958305-X,28,4,15/09/2020
lwarlowex,802353308-8,10,6,19/09/2021
tnorthagey,252891833-X,43,4,24/07/2019
afarmerz,757425460-5,31,3,26/05/2018
lelphinstone10,069692414-5,35,6,13/03/2019
cmordon11,323011846-4,23,2,30/11/2018
yrawls12,622476029-2,32,4,29/03/2021
ddelacroux13,924101654-X,4,6,05/12/2018
dbeckham14,775623506-1,6,4,05/04/2016
amurkitt15,483439354-2,44,6,27/09/2021
bchazette16,085794653-6,37,4,14/07/2019
gkydd17,289750471-4,22,5,27/03/2019
ddelacroux13,381695710-2,35,6,28/03/2021
dbeckham14,561432384-8,14,1,16/09/2016
amurkitt15,088004097-1,33,4,06/12/2019
bchazette16,027205484-4,10,3,13/02/2016
gkydd17,674244797-4,47,1,29/09/2015
ddelacroux13,794740396-1,49,1,23/10/2019
dbeckham14,381695710-2,35,2,12/09/2017
amurkitt15,561432384-8,14,4,13/06/2021
bchazette16,088004097-1,33,6,13/02/2019
gkydd17,027205484-4,10,4,30/06/2021
ddelacroux13,674244797-4,47,5,12/10/2020
dbeckham14,794740396-1,49,5,27/02/2016
amurkitt15,381695710-2,35,4,04/10/2021
bchazette16,561432384-8,14,6,08/03/2021
gkydd17,088004097-1,33,4,18/02/2020
gmacnallyh,027205484-4,10,6,28/06/2018
lbohjei,674244797-4,47,2,10/06/2021
bhinkesj,794740396-1,49,1,20/05/2015
acrimk,742281678-3,13,2,27/07/2019
chonschl,014433655-3,14,2,21/03/2015
jservantm,066881290-7,31,3,08/02/2022
rnorthbridgen,438393961-9,36,1,27/03/2018
rnorthbridgen,995337648-4,46,1,06/10/2021
rnorthbridgen,967177836-4,7,5,16/06/2020
rnorthbridgen,592521965-1,46,2,28/02/2020
rnorthbridgen,742281678-3,13,4,27/09/2019
rnorthbridgen,014433655-3,14,4,24/08/2015
rnorthbridgen,066881290-7,31,5,01/04/2022
rnorthbridgen,438393961-9,36,1,27/04/2015
rnorthbridgen,995337648-4,46,2,15/05/2015
aleftwichd,967177836-4,7,4,11/10/2018
tlestrangee,592521965-1,46,5,21/06/2016
jyoutheadf,592521965-1,46,4,21/08/2015
aabramovicig,592521965-1,46,5,25/11/2018
aleftwichd,469929970-9,24,1,13/07/2021
tlestrangee,592521965-1,46,1,02/07/2017
jyoutheadf,469929970-9,24,1,15/03/2018
aabramovicig,592521965-1,46,6,12/10/2020
aleftwichd,469929970-9,24,5,17/10/2016
tlestrangee,592521965-1,46,3,28/08/2017
aleftwichd,469929970-9,24,2,29/05/2017
tlestrangee,592521965-1,46,5,13/06/2020
jyoutheadf,469929970-9,24,6,01/05/2020
aabramovicig,592521965-1,46,5,20/01/2015
aleftwichd,469929970-9,24,6,03/05/2021
tlestrangee,592521965-1,46,5,25/05/2017
jyoutheadf,469929970-9,24,2,04/07/2018
ahaggart9,592521965-1,46,3,16/10/2021
kwateridgea,469929970-9,24,2,28/05/2019
mmattingsonb,913875266-2,2,1,25/02/2015
ljosskovizc,925102302-6,37,6,03/06/2020
ahaggart9,295726978-3,17,1,15/12/2020
kwateridgea,877941969-0,2,2,20/09/2017
mmattingsonb,592521965-1,46,5,16/02/2018
ljosskovizc,469929970-9,24,3,30/06/2019
ahaggart9,913875266-2,2,1,07/04/2022
kwateridgea,925102302-6,37,3,08/03/2019
mmattingsonb,295726978-3,17,2,10/05/2016
ljosskovizc,877941969-0,2,3,20/03/2019
ahaggart9,592521965-1,46,2,07/04/2021
kwateridgea,469929970-9,24,6,30/09/2020
mmattingsonb,913875266-2,2,3,02/02/2021
ljosskovizc,925102302-6,37,1,25/09/2016
bhinkesj,295726978-3,17,6,04/11/2015
acrimk,877941969-0,2,6,10/08/2017
chonschl,742281678-3,13,5,14/07/2017
jservantm,014433655-3,14,6,17/12/2019
rnorthbridgen,066881290-7,31,4,31/08/2017
rearwickero,438393961-9,36,4,27/04/2018
bmacgrayp,995337648-4,46,5,09/11/2018
jlindemannq,967177836-4,7,4,16/01/2015
hfendlowr,592521965-1,46,6,30/12/2015
ksevernss,469929970-9,24,6,09/10/2017
aprobbint,913875266-2,2,1,20/06/2021
gtrussu,925102302-6,37,4,17/04/2017
spercyv,295726978-3,17,6,25/06/2016
bmerrimanw,877941969-0,2,5,19/11/2019
lwarlowex,249784025-3,17,3,16/11/2018
tnorthagey,820216036-7,46,3,20/02/2021
afarmerz,370251093-1,30,1,07/05/2018
bhinkesj,273493707-7,39,4,23/09/2016
acrimk,965444027-X,17,6,10/08/2019
chonschl,381695710-2,35,5,18/06/2018
jservantm,561432384-8,14,3,22/08/2021
rnorthbridgen,088004097-1,33,6,06/03/2018
rearwickero,027205484-4,10,5,30/07/2016
bmacgrayp,674244797-4,47,6,03/08/2015
jlindemannq,794740396-1,49,5,04/03/2017
