User_ID,ISBN,RentAmount,Quantity,Date
ahaggart9,742281678-3,3,2,10/08/2010
kwateridgea,014433655-3,7,4,17/09/2011
mmattingsonb,066881290-7,9,6,10/06/2014
ljosskovizc,438393961-9,6,3,28/05/2016
aleftwichd,995337648-4,7,6,08/02/2016
tlestrangee,967177836-4,8,6,17/07/2012
jyoutheadf,592521965-1,6,4,08/11/2017
aabramovicig,469929970-9,7,3,12/08/2020
gmacnallyh,913875266-2,9,5,04/08/2012
lbohjei,925102302-6,3,1,09/02/2014
bhinkesj,295726978-3,9,2,11/10/2011
acrimk,877941969-0,8,1,25/06/2010
chonschl,249784025-3,1,5,17/05/2011
jservantm,820216036-7,4,5,30/03/2018
rnorthbridgen,370251093-1,2,2,23/12/2012
rearwickero,273493707-7,7,6,19/07/2014
bmacgrayp,965444027-X,2,5,30/06/2009
jlindemannq,381695710-2,4,1,08/07/2007
hfendlowr,561432384-8,8,4,23/03/2012
ksevernss,088004097-1,2,1,01/03/2016
aprobbint,027205484-4,9,2,31/03/2009
gtrussu,674244797-4,2,4,17/11/2009
spercyv,794740396-1,8,3,05/01/2004
bmerrimanw,787958305-X,9,3,09/01/2010
lwarlowex,802353308-8,2,1,16/08/2001
tnorthagey,252891833-X,1,5,31/12/2006
afarmerz,757425460-5,5,6,24/10/2009
lelphinstone10,069692414-5,7,5,02/09/2020
cmordon11,323011846-4,3,3,21/07/2000
yrawls12,622476029-2,6,2,15/11/2019
ddelacroux13,924101654-X,1,3,01/08/2002
dbeckham14,775623506-1,2,1,21/01/2020
amurkitt15,483439354-2,1,3,01/10/2012
bchazette16,085794653-6,8,3,06/03/2021
gkydd17,289750471-4,8,1,19/04/2008
ahaggart9,742281678-3,9,1,10/08/2010
kwateridgea,014433655-3,7,6,17/09/2011
mmattingsonb,066881290-7,9,3,10/06/2014
ljosskovizc,438393961-9,7,2,28/05/2016
aleftwichd,995337648-4,9,4,08/02/2016
tlestrangee,967177836-4,7,6,17/07/2012
jyoutheadf,592521965-1,2,1,08/11/2017
aabramovicig,469929970-9,4,4,12/08/2020
gmacnallyh,913875266-2,8,1,04/08/2012
lbohjei,925102302-6,2,2,09/02/2014
bhinkesj,295726978-3,9,6,11/10/2011
acrimk,877941969-0,6,2,25/06/2010
chonschl,249784025-3,8,1,17/05/2011
jservantm,820216036-7,1,5,30/03/2018
rnorthbridgen,370251093-1,3,6,23/12/2012
rearwickero,273493707-7,1,4,19/07/2014
bmacgrayp,965444027-X,5,4,30/06/2009
jlindemannq,381695710-2,9,3,08/07/2007
hfendlowr,561432384-8,5,6,23/03/2012
ksevernss,088004097-1,4,5,01/03/2016
