User_ID,ISBN,RentAmount,Quantity,Date
jmagowan0,223156628-1,8,5,07/12/2020
cmoules1,249581980-X,1,6,06/10/2020
dmeadowcraft2,025458379-2,7,1,10/05/2021
sturl3,357421972-5,7,4,01/03/2021
echallenor4,695752381-0,9,1,11/12/2019
fdignall0,111579298-9,2,6,29/12/2012
tstuckley1,127782387-1,8,5,04/04/2013
eshasnan2,840555691-5,3,5,12/06/2007
dknell3,386759439-2,1,2,11/03/2022
gabazi4,187636157-3,4,4,10/08/2010
cle5,595391563-2,5,4,17/09/2011
cohrtmann6,087461628-X,3,1,10/06/2014
fwellard7,416380290-8,9,2,28/05/2016
tcoch8,540195342-9,1,5,08/02/2016
kbrugemann9,396182102-X,8,6,17/07/2012
headena,313557961-1,7,4,08/11/2017
escholtisb,239075900-9,6,4,12/08/2020
nduignanc,744922905-6,9,2,04/08/2012
ptinmand,315668918-1,2,4,09/02/2014
mclementele,671151961-2,7,3,11/10/2011
tbaggf,099672263-7,9,1,25/06/2010
cswatlandg,360741969-8,7,3,17/05/2011
awinnh,149441797-9,8,1,30/03/2018
lclampei,217481693-8,5,2,23/12/2012
mojojo3,329006851-X,1,5,19/07/2014
fdugue0,435349233-0,2,4,03/07/2019
lrawood1,551101480-X,8,2,28/03/2022
hst2,726063840-0,5,5,12/12/2017
dsemmence3,386403216-4,3,5,01/01/2018
kpearse4,000205887-1,2,1,18/09/2021
msurgenor5,948233760-3,4,2,29/12/2012
cwhittuck6,029942479-0,4,5,04/04/2013
rland7,888396375-X,7,5,12/06/2007
hdabes8,122450049-0,6,6,11/03/2022
hdabes8,386403216-4,4,3,11/03/2022
hdabes8,000205887-1,8,2,11/03/2022
hdabes8,948233760-3,2,3,11/03/2022
hdabes8,386403216-4,1,2,11/03/2022
hdabes8,000205887-1,2,6,11/03/2022
hdabes8,948233760-3,2,1,11/03/2022
dsemmence3,315668918-1,8,3,01/01/2018
dsemmence3,671151961-2,8,1,01/01/2018
dsemmence3,099672263-7,3,3,01/01/2018
dsemmence3,360741969-8,4,5,01/01/2018
dsemmence3,149441797-9,6,1,01/01/2018
dsemmence3,217481693-8,2,1,01/01/2018
dsemmence3,329006851-X,9,2,01/01/2018
dsemmence3,435349233-0,6,4,01/01/2018
dsemmence3,551101480-X,3,5,01/01/2018
dsemmence3,726063840-0,4,2,01/01/2018
dsemmence3,386403216-4,6,6,01/01/2018
dsemmence3,315668918-1,3,3,01/01/2018
dsemmence3,671151961-2,4,6,01/01/2018
dsemmence3,099672263-7,9,6,01/01/2018
headena,360741969-8,8,6,08/11/2017
escholtisb,360741969-8,1,2,12/08/2020
nduignanc,360741969-8,7,3,04/08/2012
ptinmand,360741969-8,1,6,09/02/2014
mclementele,360741969-8,6,1,11/10/2011
tbaggf,360741969-8,9,2,25/06/2010
sturl3,127782387-1,7,6,01/03/2021
sturl3,840555691-5,1,5,01/03/2021
sturl3,386759439-2,8,1,01/03/2021
sturl3,187636157-3,1,6,01/03/2021
sturl3,127782387-1,1,1,01/03/2021
sturl3,840555691-5,2,4,01/03/2021
sturl3,386759439-2,4,6,01/03/2021
sturl3,187636157-3,3,5,01/03/2021
sturl3,127782387-1,1,5,01/03/2021
sturl3,840555691-5,4,1,01/03/2021
sturl3,386759439-2,8,1,01/03/2021
jmagowan0,187636157-3,4,1,07/12/2020
cmoules1,695752381-0,6,6,06/10/2020
dmeadowcraft2,111579298-9,8,4,10/05/2021
jmagowan0,127782387-1,6,1,07/12/2020
cmoules1,840555691-5,9,2,06/10/2020
dmeadowcraft2,386759439-2,1,1,10/05/2021
jmagowan0,187636157-3,9,2,07/12/2020
cmoules1,595391563-2,1,1,06/10/2020
dmeadowcraft2,087461628-X,8,5,10/05/2021
jmagowan0,416380290-8,9,3,07/12/2020
cmoules1,540195342-9,1,1,06/10/2020
