ISBN,Author,Title,RentPrice,Category,Publisher
223156628-1,Brannon Vinden,The Good Shepherd,42,Action,"Blanda, Howell and Christiansen"
249581980-X,Quinlan Mapledoram,One Day At A Time,31,Drama,Mraz and Sons
025458379-2,Hughie Duprey,Alpriori Gen Join,39,Comedy,Heathcote-Treutel
357421972-5,Dasi Sellen,"The Good, Bad and the Ugly",30,Drama,"Baumbach, Hessel and Paucek"
695752381-0,Melissa Candelin,Top Boy,48,Adventure,Sporer-Nikolaus
111579298-9,Bambie Seaking,Eastlawn Mechanism,50,Comedy,Kuphal and Sons
127782387-1,Osbourn Sigge,Scoville Parkway,11,Western,Yundt-Rempel
840555691-5,Denys Sweetmore,Schlimgen Returns,31,Comedy,Schneider Inc
386759439-2,Tilda Losseljong,Vidon ,46,Adventure,Kiehn-Von
187636157-3,Worthy Passingham,Arrowood ,42,Crime,Okon Inc
595391563-2,Valentia Heinel,Lindbergh Pass,31,Comedy,Botsford LLC
087461628-X,Lizabeth Isakov,Barnett Palace,39,Comedy,Botsford LLC
416380290-8,Giulia Wrankmore,The American Lane,30,Horror,"Hagenes, Moore and Macejkovic"
540195342-9,Stanislas McMillam,Being Bowman,48,Comedy,Rath-Gleason
396182102-X,Justus Dunsleve,Del Sol ,50,Drama,Koelpin and Sons
313557961-1,Flemming Spacey,Bultman the Third,45,Comedy,Spinka-Ledner
239075900-9,Nicola Thorrold,Jenna Point,15,Drama,"Nienow, Abshire and Leffler"
744922905-6,Cindie Elby,Lukken Trail,45,Crime,Okon Inc
315668918-1,Carmen Churchyard,Sutteridge ,38,Documentary,Mertz and Sons
671151961-2,Irv Trodler,Kipling Circle,25,Drama,Nader LLC
099672263-7,Cherish Witul,Hermina Junction,44,Action,"Bauch, Reynolds and Kling"
360741969-8,Bard World,Being John Buell,42,Comedy,Hartmann-Flatley
149441797-9,Roselia Confait,The Art Of Kropfing,4,Drama,"Stoltenberg, Kessler and Buckridge"
217481693-8,Deanna Papps,Parkside industry,36,RomCom,Harvey-Emmerich
329006851-X,Cly Rihosek,Derekson Way,45,Comedy,Torphy Group
435349233-0,Jordain Lilbourne,Oneill  Drive ,44,Documentary,Fay-Kunze
551101480-X,Amalia Bolley,Stang  Plaza ,20,Drama,Kautzer Group
726063840-0,Rois Kruszelnicki,Dexter  Point ,41,Drama,Vandervort-Roberts
386403216-4,Juanita Rubert,Di  Loreto Junction,34,Comedy,Ledner-Bergnaum
000205887-1,Etta Camelli,La  Follette Circle,45,Action,Moen LLC
948233760-3,Jacquetta Axelbee,Fair  Oaks Street,16,Drama,"Gulgowski, Grady and McLaughlin"
029942479-0,Tuck Mahady,Clove  Point ,48,Drama,Schinner Inc
888396375-X,Kort Bernadon,Northfield  Center ,24,Drama,Rogahn-Frami
122450049-0,Ely Capelin,Kennedy  Plaza ,4,Comedy,"Gutmann, Barrows and Hermann"
