User_ID,ISBN,RentAmount,Quantity,Date
jmagowan0,223156628-1,42,5,10/01/2020
cmoules1,249581980-X,31,6,09/12/2019
dmeadowcraft2,025458379-2,39,1,14/07/2020
sturl3,357421972-5,30,4,02/02/2016
echallenor4,695752381-0,48,1,08/01/2018
fdignall0,111579298-9,50,6,28/12/2019
tstuckley1,127782387-1,11,5,06/04/2019
eshasnan2,840555691-5,31,5,27/12/2018
dknell3,386759439-2,46,2,08/08/2020
gabazi4,187636157-3,42,4,13/02/2022
cle5,595391563-2,31,4,11/10/2021
cohrtmann6,087461628-X,39,1,21/05/2015
fwellard7,416380290-8,30,2,16/06/2015
tcoch8,540195342-9,48,5,13/06/2021
kbrugemann9,396182102-X,50,6,21/08/2019
headena,313557961-1,45,4,03/05/2020
escholtisb,239075900-9,15,4,30/05/2018
nduignanc,744922905-6,45,2,19/04/2022
ptinmand,315668918-1,38,4,05/11/2015
mclementele,671151961-2,25,3,01/08/2015
tbaggf,099672263-7,44,1,23/01/2015
cswatlandg,360741969-8,42,3,03/06/2016
awinnh,149441797-9,4,1,22/07/2017
lclampei,217481693-8,36,2,07/08/2015
mojojo3,329006851-X,45,5,23/02/2018
fdugue0,435349233-0,44,4,29/04/2016
lrawood1,551101480-X,20,2,04/10/2021
hst2,726063840-0,41,5,04/10/2019
dsemmence3,386403216-4,34,5,18/03/2021
kpearse4,000205887-1,45,1,26/11/2015
msurgenor5,948233760-3,16,2,13/09/2016
cwhittuck6,029942479-0,48,5,20/10/2020
rland7,888396375-X,24,5,20/02/2016
hdabes8,122450049-0,4,6,02/06/2017
hdabes8,386403216-4,34,3,31/10/2019
hdabes8,000205887-1,45,2,10/07/2020
hdabes8,948233760-3,16,3,27/11/2015
hdabes8,386403216-4,34,2,28/11/2019
hdabes8,000205887-1,45,6,01/05/2018
hdabes8,948233760-3,16,1,26/12/2021
dsemmence3,315668918-1,38,3,14/12/2016
dsemmence3,671151961-2,25,1,17/01/2015
dsemmence3,099672263-7,44,3,30/12/2017
dsemmence3,360741969-8,42,5,25/12/2017
dsemmence3,149441797-9,4,1,20/04/2021
dsemmence3,217481693-8,36,1,07/08/2020
dsemmence3,329006851-X,45,2,20/08/2017
dsemmence3,435349233-0,44,4,17/10/2016
dsemmence3,551101480-X,20,5,28/11/2016
dsemmence3,726063840-0,41,2,08/03/2018
dsemmence3,386403216-4,34,6,14/09/2016
dsemmence3,315668918-1,38,3,24/04/2016
dsemmence3,671151961-2,25,6,29/01/2016
dsemmence3,099672263-7,44,6,20/07/2017
headena,360741969-8,42,6,18/12/2017
escholtisb,360741969-8,42,2,19/02/2018
nduignanc,360741969-8,42,3,09/10/2017
ptinmand,360741969-8,42,6,03/05/2015
mclementele,360741969-8,42,1,10/12/2020
tbaggf,360741969-8,42,2,06/09/2019
sturl3,127782387-1,11,6,29/03/2021
sturl3,840555691-5,31,5,03/05/2019
sturl3,386759439-2,46,1,04/04/2021
sturl3,187636157-3,42,6,13/11/2019
sturl3,127782387-1,11,1,16/08/2015
sturl3,840555691-5,31,4,07/08/2020
sturl3,386759439-2,46,6,24/10/2019
sturl3,187636157-3,42,5,08/02/2022
sturl3,127782387-1,11,5,15/05/2015
sturl3,840555691-5,31,1,03/07/2020
sturl3,386759439-2,46,1,07/06/2021
jmagowan0,187636157-3,42,1,19/11/2017
cmoules1,695752381-0,48,6,20/10/2020
dmeadowcraft2,111579298-9,50,4,09/01/2021
jmagowan0,127782387-1,11,1,16/04/2021
cmoules1,840555691-5,31,2,22/06/2016
dmeadowcraft2,386759439-2,46,1,28/03/2019
jmagowan0,187636157-3,42,2,04/04/2016
cmoules1,595391563-2,31,1,31/01/2017
dmeadowcraft2,087461628-X,39,5,14/04/2019
jmagowan0,416380290-8,30,3,15/01/2022
cmoules1,540195342-9,48,1,09/03/2015
dmeadowcraft2,396182102-X,50,3,17/03/2016
jmagowan0,695752381-0,48,2,19/02/2018
cmoules1,111579298-9,50,4,11/07/2019
dmeadowcraft2,127782387-1,11,2,12/06/2021
jmagowan0,840555691-5,31,6,24/08/2018
cmoules1,386759439-2,46,3,03/07/2015
dmeadowcraft2,187636157-3,42,6,25/11/2015
jmagowan0,595391563-2,31,3,03/05/2018
cmoules1,087461628-X,39,4,27/06/2021
dmeadowcraft2,416380290-8,30,3,14/04/2015
jmagowan0,540195342-9,48,6,10/03/2018
cmoules1,396182102-X,50,2,05/05/2017
dmeadowcraft2,695752381-0,48,5,11/05/2019
jmagowan0,111579298-9,50,6,09/03/2022
cmoules1,127782387-1,11,4,04/03/2022
dmeadowcraft2,840555691-5,31,2,27/02/2017
jmagowan0,386759439-2,46,1,02/07/2018
cmoules1,187636157-3,42,6,10/02/2019
dmeadowcraft2,595391563-2,31,3,18/02/2020
dmeadowcraft2,087461628-X,39,5,29/04/2015
jmagowan0,416380290-8,30,6,11/09/2020
cmoules1,540195342-9,48,2,27/03/2019
dmeadowcraft2,396182102-X,50,4,12/05/2021
jmagowan0,840555691-5,31,6,28/07/2016
cmoules1,386759439-2,46,3,21/02/2016
dmeadowcraft2,187636157-3,42,1,12/05/2016
jmagowan0,127782387-1,11,3,14/12/2016
cmoules1,840555691-5,31,4,08/06/2016
dmeadowcraft2,386759439-2,46,3,25/10/2017
jmagowan0,840555691-5,31,2,03/08/2015
cmoules1,386759439-2,46,6,15/05/2016
dmeadowcraft2,187636157-3,42,4,13/03/2015
jmagowan0,127782387-1,11,5,04/04/2021
cmoules1,840555691-5,31,4,20/07/2020
dmeadowcraft2,386759439-2,46,3,10/11/2016
jmagowan0,840555691-5,31,1,29/05/2018
cmoules1,386759439-2,46,4,05/12/2016
dmeadowcraft2,187636157-3,42,5,21/12/2015
jmagowan0,127782387-1,11,2,03/07/2019
cmoules1,840555691-5,31,1,13/01/2019
dmeadowcraft2,386759439-2,46,1,22/10/2021
jmagowan0,840555691-5,31,4,07/05/2016
cmoules1,386759439-2,46,2,23/10/2017
jmagowan0,187636157-3,42,4,12/04/2021
cmoules1,127782387-1,11,6,22/12/2018
dmeadowcraft2,840555691-5,31,4,28/01/2020
sturl3,386759439-2,46,4,09/09/2016
echallenor4,099672263-7,44,1,01/09/2020
fdignall0,360741969-8,42,5,08/09/2016
tstuckley1,149441797-9,4,4,08/01/2020
eshasnan2,217481693-8,36,1,05/02/2022
dknell3,329006851-X,45,1,03/02/2018
gabazi4,435349233-0,44,4,06/07/2019
cle5,551101480-X,20,3,27/09/2019
cohrtmann6,726063840-0,41,2,22/02/2015
fwellard7,386403216-4,34,2,28/04/2017
tcoch8,000205887-1,45,2,18/09/2015
jmagowan0,948233760-3,16,1,12/09/2017
cmoules1,029942479-0,48,1,24/06/2017
dmeadowcraft2,099672263-7,44,3,17/04/2015
sturl3,360741969-8,42,5,26/06/2021
echallenor4,149441797-9,4,1,17/10/2016
fdignall0,217481693-8,36,3,13/07/2015
tstuckley1,329006851-X,45,2,12/04/2021
eshasnan2,435349233-0,44,2,22/01/2018
dknell3,551101480-X,20,4,27/01/2015
gabazi4,726063840-0,41,1,02/09/2017
cle5,386403216-4,34,5,25/10/2019
cohrtmann6,000205887-1,45,2,26/09/2017
fwellard7,948233760-3,16,6,24/10/2020
tcoch8,029942479-0,48,3,28/08/2017
nduignanc,099672263-7,44,4,02/05/2016
ptinmand,360741969-8,42,5,19/01/2017
mclementele,149441797-9,4,3,26/08/2017
tbaggf,217481693-8,36,3,05/09/2015
cswatlandg,329006851-X,45,2,09/10/2018
awinnh,435349233-0,44,6,10/07/2017
lclampei,551101480-X,20,1,26/06/2018
mojojo3,726063840-0,41,2,30/10/2015
fdugue0,386403216-4,34,4,03/01/2015
nduignanc,000205887-1,45,3,16/01/2020
ptinmand,948233760-3,16,2,08/12/2021
mclementele,029942479-0,48,6,23/08/2020
tbaggf,099672263-7,44,1,27/03/2019
cswatlandg,360741969-8,42,4,18/08/2016
awinnh,149441797-9,4,5,14/08/2021
lclampei,217481693-8,36,5,05/12/2018
mojojo3,329006851-X,45,3,20/04/2015
fdugue0,435349233-0,44,4,13/10/2020
fdugue0,551101480-X,20,2,21/04/2018
fdugue0,726063840-0,41,2,25/05/2021
fdugue0,386403216-4,34,3,19/11/2015
fdugue0,000205887-1,45,6,09/09/2020
fdugue0,948233760-3,16,4,17/02/2021
fdugue0,029942479-0,48,3,28/09/2019
fdugue0,099672263-7,44,6,19/05/2015
fdugue0,360741969-8,42,2,11/10/2019
fdugue0,149441797-9,4,1,18/03/2020
fdugue0,217481693-8,36,5,04/09/2020
fdugue0,329006851-X,45,1,06/06/2018
fdugue0,435349233-0,44,1,17/11/2016
fdugue0,551101480-X,20,6,29/10/2018
fdugue0,726063840-0,41,1,03/04/2015
fdugue0,386403216-4,34,4,02/12/2017
fdugue0,000205887-1,45,1,18/02/2020
fdugue0,948233760-3,16,4,18/06/2021
fdugue0,029942479-0,48,1,19/12/2020
fdugue0,396182102-X,50,2,06/09/2020
fdugue0,313557961-1,45,6,11/01/2015
fdugue0,239075900-9,15,3,21/07/2015
fdignall0,744922905-6,45,1,23/05/2018
tstuckley1,315668918-1,38,6,09/07/2016
eshasnan2,671151961-2,25,6,09/04/2018
dknell3,099672263-7,44,3,29/12/2021
fdignall0,360741969-8,42,4,25/02/2015
tstuckley1,149441797-9,4,1,13/03/2016
eshasnan2,217481693-8,36,3,15/04/2016
dknell3,329006851-X,45,5,25/01/2019
fdignall0,695752381-0,48,5,14/02/2020
tstuckley1,111579298-9,50,4,01/03/2016
eshasnan2,127782387-1,11,5,20/07/2020
dknell3,840555691-5,31,2,10/10/2021
fdignall0,386759439-2,46,1,09/02/2018
tstuckley1,187636157-3,42,2,10/11/2015
eshasnan2,595391563-2,31,2,09/10/2019
dknell3,695752381-0,48,1,03/10/2021
fdignall0,111579298-9,50,3,26/08/2015
tstuckley1,127782387-1,11,5,12/05/2021
eshasnan2,840555691-5,31,6,13/11/2016
dknell3,386759439-2,46,4,13/02/2019
fdignall0,187636157-3,42,1,05/01/2022
tstuckley1,595391563-2,31,1,18/04/2017
eshasnan2,695752381-0,48,2,04/01/2018
dknell3,111579298-9,50,6,09/03/2016
fdignall0,127782387-1,11,6,02/07/2019
tstuckley1,840555691-5,31,3,27/03/2018
eshasnan2,386759439-2,46,2,10/10/2021
dknell3,187636157-3,42,6,08/05/2018
fdignall0,595391563-2,31,1,18/03/2016
tstuckley1,695752381-0,48,2,06/10/2020
eshasnan2,111579298-9,50,2,11/03/2018
